CSA2010,Bargain,Sr_Admin,Sr_Appt,Sr_NonAd,Admin,NonAdmin
Community Statistical Areas,BargainingUnit,SrStaff_Admin,SrStaff_Appt,SrStaff_NonAd,Staff_Admin,Staff_NonAdmin
Allendale/Irvington/S. Hilton,35797,77478.5,NaN,100222,40937,41447
Beechfield/Ten Hills/West Hills,36358,78946.5,NaN,71009,49822.5,42590.5
Belair-Edison,36088,69707,NaN,115480,46872,42091
Brooklyn/Curtis Bay/Hawkins Point,42411,NaN,NaN,NaN,50680.5,28348
Canton,NaN,85000,137700,92000,53779,36400
Cedonia/Frankford,36067,69360,NaN,105437.5,45548,49697.5
Cherry Hill,36961.5,NaN,NaN,NaN,44526.5,NaN
Chinquapin Park/Belvedere,36202.5,85250,NaN,69552,48659,50514
Claremont/Armistead,36088,72615,NaN,97579,41500,38091.5
Clifton-Berea,36088,70812,NaN,NaN,50625,45670
Cross-Country/Cheswolde,35797,74745,NaN,68163.5,45638.5,41000
Dickeyville/Franklintown,36088,78030,NaN,154148,51500,NaN
Dorchester/Ashburton,35276.5,77250,NaN,79854.5,43251,37698.5
Downtown/Seton Hill,34216,80421,72965.5,68000,53138.5,35700
Edmondson Village,35797,75690,NaN,91962,42865,42856
Fells Point,36358,82887,143350,74285,50083,39398
Forest Park/Walbrook,35797,98374.5,NaN,NaN,45235,45000
Glen-Fallstaff,36556,100040,NaN,73950.5,41359,45500
Greater Charles Village/Barclay,35797,76667,136250,66030,47363,35000
Greater Govans,35796.5,80426,NaN,72162,46339.5,42169
Greater Mondawmin,35797,NaN,NaN,NaN,48974,35123.5
Greater Roland Park/Poplar Hill,NaN,105692,127345,92760,49500,36244
Greater Rosemont,35526,NaN,NaN,NaN,47582,44478
Greenmount East,36202.5,72100,NaN,57000,45367,46581
Hamilton,37398.5,84920,34769,92953,44429,42000
Harbor East/Little Italy,34351.5,75500,408220,88686.5,39104,36250.5
Harford/Echodale,37876.5,77274,NaN,59000,50500,42317
Highlandtown,35526,83773,128150,95990,49276,42840
Howard Park/West Arlington,36077.5,83647,NaN,134331,43818.5,62162
Inner Harbor/Federal Hill,36088,80664,72165,88205,50017,35006
Lauraville,36088,79055.5,NaN,80392,48901,43085
Loch Raven,36213,69927,NaN,67209,45950,46624
Madison/East End,35526,58677,NaN,68681,40800,40462
Medfield/Hampden/Woodberry/Remington,36077.5,80669,72114,78468,49589,37500
Midtown,41298.5,74554,62750,68000,49400,36612.5
Midway/Coldstream,37024,NaN,NaN,75747,40800,36800
Morrell Park/Violetville,37876.5,77232,NaN,90000,52000,38902
Mount Washington/Coldspring,NaN,94047,137250,90865,50000,40263
North Baltimore/Guilford/Homeland,35526,93821,140647,79000,49910,34662
Northwood,35797,71178,NaN,71875,49404.5,46000
Oldtown/Middle East,35797,90000,89600,68000,43750,36000
Orangeville/East Highlandtown,36056.5,73500,277500,65336,47422.5,45390
Patterson Park North & East,36213,78759,106593,82995,51001,38490
Penn North/Reservoir Hill,35797,85351.5,NaN,58125.5,49994,38305.5
Pimlico/Arlington/Hilltop,35797,64733,NaN,80000,44086,36859.5
Poppleton/The Terraces/Hollins Market,35308,90850,NaN,NaN,45000,47105
Sandtown-Winchester/Harlem Park,35797,86913,NaN,NaN,44604.5,39000
South Baltimore,NaN,86594,330400,91418.5,50229,38000
Southeastern,33342,95640,NaN,96785.5,46936,45850
Southern Park Heights,35526,103892,NaN,88055,43838.5,38806
Southwest Baltimore,37523.5,77800,NaN,NaN,43947,44335
The Waverlies,36088,76527,NaN,72000,44146,35648.5
Upton/Druid Heights,34569.5,NaN,148800,81906,40794,42000
Washington Village/Pigtown,NaN,71900,NaN,NaN,50000,46430
Westport/Mount Winans/Lakeland,36961.5,NaN,NaN,NaN,42493.5,52137
Baltimore City,NaN,NaN,NaN,NaN,NaN,NaN